TOTAL_INSTANCES 500

INSTANCE TD_UNIQUE_C_100_001
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
62 65 72 74 83 84 84 85 85 87 87 91 91 91 91 94 95 96 97 100 100 103 105 106 106 107 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.49
600      1000     1.47
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
74       87      25      25      275         344       11
75       45      87      21      639         722       19
76       19      21      25      205         295       15
77       76      31      25      464         532       10
78       57      87      20      376         482       20
79       9       15      14      295         372       13
80       73      22      11      266         358       17
81       51      83      24      399         482       18
82       5       28      21      208         287       15
83       85      14      25      424         529       20
84       53      84      24      467         531       11
85       21      18      23      77          170       13
86       77      16      22      284         365       10
87       43      80      22      614         701       10
88       23      11      24      188         259       16
89       70      19      25      464         550       19
90       52      81      19      355         459       10
91       25      13      18      173         276       11
92       99      19      16      262         372       18
93       47      73      24      502         568       20
94       24      23      10      90          153       19
95       96      8       20      497         567       18
96       48      78      25      602         703       11
97       4       28      13      68          156       20
98       83      11      15      435         514       11
99       52      80      10      460         552       15
100      15      23      25      48          113       17

INSTANCE TD_UNIQUE_RC_25_113
LAYOUT RC
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
63 64 76 76 91 95 95 95
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.04
300      600      0.31
600      1000     1.4
1000     2000     0.91
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        93      49      24      379         462       10
2        26      87      13      274         379       13
3        62      46      18      139         212       18
4        15      80      22      292         384       10
5        99      25      16      344         443       20
6        30      75      22      204         274       18
7        35      23      22      213         277       17
8        17      73      13      320         397       20
9        71      98      14      449         530       18
10       21      76      12      351         439       12
11       68      58      21      147         252       12
12       35      91      25      328         433       18
13       51      86      11      275         341       16
14       13      100     11      424         520       15
15       16      11      14      320         420       14
16       29      70      24      206         301       12
17       64      68      12      229         334       15
18       25      85      25      383         476       16
19       56      39      16      182         288       15
20       8       85      12      466         545       10
21       69      75      19      200         276       17
22       21      83      25      275         362       15
23       83      7       16      431         522       20
24       28      84      18      255         359       19
25       94      77      18      375         462       15

INSTANCE TD_UNIQUE_RC_100_114
LAYOUT RC
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
56 70 72 75 75 75 77 84 85 86 86 87 89 91 91 92 92 93 95 101 103 108 108 110 110 110 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.17
300      600      0.33
600      1000     1.5
1000     2000     0.9
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        65      23      15      322         422       10
2        18      85      19      498         583       12
3        71      45      16      225         303       18
4        22      76      12      355         460       15
5        96      6       10      531         635       17
6        27      73      22      280         381       14
7        67      1       24      566         633       13
8        28      79      18      388         468       19
9        82      63      22      320         400       14
10       15      73      18      423         487       11
11       82      63      17      320         383       18
12       21      72      20      426         510       17
13       78      58      14      296         376       19
14       17      87      10      528         615       18
15       12      14      10      441         529       10
16       17      64      19      350         459       18
17       72      84      16      426         490       15
18       20      67      13      295         375       17
19       22      60      23      314         420       16
20       12      84      18      522         600       20
21       76      81      18      444         507       11
22       21      67      24      358         444       20
23       76      54      25      291         377       18
24       32      79      22      431         512       16
25       94      35      17      507         613       14
26       9       84      25      493         565       13
27       8       82      23      442         510       11
28       18      93      15      542         640       17
29       61      43      16      118         178       12
30       24      74      16      430         537       16
31       62      89      19      376         473       15
32       14      73      10      384         493       17
33       16      50      19      400         478       15
34       21      86      25      406         488       14
35       11      49      18      473         567       20
36       20      90      17      485         563       11
37       48      48      18      82          154       19
38       17      54      22      330         411       18
39       80      67      19      352         445       10
40       31      82      13      395         504       10
41       58      36      16      198         289       19
42       27      76      16      418         490       10
43       73      14      17      382         449       18
44       29      81      21      371         441       13
45       96      50      22      482         562       15
46       24      79      10      378         447       20
47       12      66      24      479         584       12
48       20      80      21      393         482       13
49       78      62      24      342         430       10
50       30      76      13      326         390       18
51       85      23      25      464         545       18
52       30      75      25      267         334       19
53       30      71      10      304         364       18
54       25      83      19      391         457       17
55       67      45      14      201         275       12
56       29      97      12      471         547       16
57       58      61      15      199         268       13
58       31      70      19      378         462       12
59       15      21      20      458         546       19
60       22      93      11      443         553       18
61       70      2       25      486         573       11
62       35      84      19      329         404       17
63       98      35      11      497         601       12
64       23      83      11      478         548       10
65       81      26      18      454         529       12
66       17      68      21      424         496       20
67       21      98      16      495         586       10
68       25      73      18      335         398       15
69       87      80      24      529         601       17
70       15      93      14      471         580       11
71       34      98      19      516         599       13
72       10      68      12      453         548       16
73       8       83      25      542         608       15
74       29      83      21      331         436       10
75       69      90      18      394         501       18
76       33      66      11      242         337       15
77       59      62      23      248         354       12
78       0       73      18      512         610       18
79       96      52      22      395         489       13
80       25      76      12      391         473       11
81       36      59      14      251         315       10
82       26      81      21      403         511       20
83       55      78      16      354         462       20
84       19      73      18      436         520       10
85       5       35      16      533         619       14
86       31      65      21      247         316       18
87       21      63      18      315         414       14
88       10      61      18      411         492       20
89       88      6       13      532         642       17
90       17      73      10      456         528       13
91       50      81      11      398         480       19
92       25      100     20      591         668       13
93       26      97      14      510         619       14
94       26      70      22      337         424       19
95       16      73      21      464         546       20
96       21      64      22      375         459       11
97       45      6       24      379         450       18
98       9       79      16      556         655       13
99       71      72      24      379         455       11
100      29      60      21      255         318       11

INSTANCE TD_UNIQUE_R_25_115
LAYOUT R
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
68 75 78 79 81 88 89 93
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.7
600      1000     1.39
1000     2000     0.96
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        78      78      16      353         436       11
2        82      30      18      223         319       14
3        51      79      13      188         254       12
4        90      88      11      379         445       16
5        71      35      23      231         295       12
6        43      43      11      177         280       13
7        85      68      22      271         367       13
8        71      42      16      168         250       10
9        6       19      17      391         473       18
10       50      86      16      295         377       20
11       89      55      23      333         408       20
12       37      59      21      144         238       14
13       67      32      16      245         333       16
14       10      32      20      348         440       11
15       70      60      24      179         262       13
16       58      15      14      293         365       11
17       86      62      17      313         411       20
18       50      1       15      304         375       18
19       65      5       17      393         464       19
20       9       79      20      314         393       19
21       46      65      16      94          157       19
22       100     7       21      426         515       12
23       65      22      13      261         353       15
24       99      33      22      334         405       11
25       82      45      17      290         369       10

INSTANCE TD_UNIQUE_C_50_116
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
60 67 69 76 80 81 93 93 94 95 97 97 97 98 100
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.23
300      600      0.5
600      1000     1.51
1000     2000     0.94
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        8       3       15      204         282       19
2        89      21      15      294         404       20
3        59      81      13      562         623       12
4        13      26      16      3           98        10
5        81      10      14      348         415       16
6        56      79      14      571         634       16
7        22      8       18      137         211       18
8        83      17      22      440         532       17
9        46      91      15      638         735       17
10       12      12      25      297         391       11
11       81      12      22      447         523       14
12       50      81      20      605         685       10
13       4       24      25      6           80        16
14       76      26      10      440         515       16
15       41      77      12      592         680       12
16       22      22      17      142         204       10
17       80      24      20      295         397       20
18       38      76      10      397         478       13
19       23      11      10      82          165       15
20       90      9       23      249         316       10
21       55      84      24      563         624       13
22       4       17      24      76          151       10
23       76      14      18      234         313       11
24       46      74      25      356         416       16
25       27      21      17      84          176       13
26       86      3       18      349         426       18
27       42      87      24      555         661       20
28       21      31      17      28          123       10
29       87      9       21      327         397       20
30       57      85      14      434         533       10
31       18      24      11      234         328       14
32       84      32      12      451         521       13
33       61      75      13      504         588       10
34       25      21      10      224         317       15
35       80      20      25      219         327       19
36       40      80      24      639         743       20
37       24      19      14      208         314       12
38       80      15      24      354         435       19
39       53      76      15      420         516       14
40       29      16      14      184         275       16
41       74      15      12      356         445       18
42       49      73      17      582         653       16
43       2       9       14      30          123       10
44       77      19      12      480         548       17
45       53      95      13      603         700       16
46       7       20      24      133         218       18
47       69      10      24      268         333       19
48       53      88      23      352         430       16
49       17      16      14      263         336       14
50       86      10      13      425         515       13

INSTANCE TD_UNIQUE_R_25_117
LAYOUT R
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
52 66 68 75 78 84 86 88
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.04
300      600      0.69
600      1000     1.42
1000     2000     1.09
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        39      80      13      198         307       15
2        12      89      13      445         532       14
3        78      71      20      245         321       17
4        82      77      11      291         375       15
5        82      25      16      236         342       11
6        46      89      10      309         377       16
7        21      49      15      229         307       10
8        80      89      23      343         409       20
9        28      74      16      292         374       19
10       77      19      21      321         413       11
11       45      95      22      270         371       12
12       85      79      12      330         435       20
13       78      7       21      329         437       10
14       15      15      24      430         513       18
15       86      45      18      232         322       17
16       55      64      17      114         184       17
17       74      51      16      142         252       12
18       79      77      11      270         363       16
19       28      18      17      227         298       13
20       30      87      10      243         324       15
21       58      4       22      379         475       13
22       1       3       19      492         579       16
23       91      80      25      394         476       17
24       37      23      20      186         251       20
25       24      41      25      216         304       12

INSTANCE TD_UNIQUE_R_25_118
LAYOUT R
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
56 58 64 74 79 80 82 85
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.08
300      600      0.35
600      1000     1.2
1000     2000     0.97
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        65      49      21      210         313       19
2        42      49      12      72          177       19
3        45      22      11      211         316       19
4        69      83      25      358         436       10
5        11      87      17      349         455       15
6        39      72      14      207         276       15
7        7       88      15      356         426       11
8        49      49      16      85          151       19
9        0       47      22      380         450       12
10       33      83      11      215         323       19
11       58      0       23      341         429       16
12       89      7       14      388         494       13
13       25      69      19      279         339       15
14       55      62      10      116         222       18
15       88      76      11      372         476       13
16       80      41      20      283         361       19
17       95      21      19      358         452       18
18       80      18      11      301         383       20
19       94      28      25      317         382       17
20       90      1       11      514         623       17
21       4       0       11      530         611       17
22       77      45      10      180         251       11
23       78      5       23      435         538       10
24       33      27      14      193         263       15
25       50      85      11      298         390       14

INSTANCE TD_UNIQUE_RC_25_119
LAYOUT RC
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
63 63 64 65 65 74 85 86
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.26
300      600      0.68
600      1000     1.55
1000     2000     1.09
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        65      75      18      180         290       18
2        27      74      19      327         425       14
3        63      18      18      216         295       20
4        26      98      20      360         449       15
5        92      58      15      380         474       13
6        34      77      21      191         279       20
7        71      19      18      351         420       13
8        10      81      12      356         416       16
9        47      87      11      254         320       12
10       27      72      11      186         273       20
11       47      86      17      267         366       20
12       14      80      16      303         387       19
13       50      37      15      168         253       20
14       10      73      12      278         356       13
15       3       70      24      330         438       15
16       26      97      25      405         466       12
17       30      43      22      231         312       11
18       32      70      16      205         278       17
19       59      14      14      340         449       17
20       11      75      15      388         496       13
21       2       38      10      434         505       16
22       18      77      18      315         423       17
23       93      51      10      252         337       20
24       36      69      11      155         232       20
25       0       0       20      465         568       14

INSTANCE TD_UNIQUE_R_100_120
LAYOUT R
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
64 72 73 79 81 82 84 84 87 87 92 93 95 102 102 103 104 106 106 106 107 109 109 110 111 112 112 115
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.02
300      600      0.25
600      1000     1.3
1000     2000     0.97
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        43      22      19      364         455       18
2        74      42      10      309         415       11
3        99      49      16      420         520       14
4        52      39      25      156         249       14
5        43      28      22      307         394       16
6        81      2       19      486         561       17
7        69      87      21      363         443       19
8        36      42      20      187         281       20
9        10      88      23      496         567       15
10       51      66      20      215         275       12
11       75      41      16      325         421       18
12       47      91      20      445         511       10
13       38      96      24      466         549       20
14       52      87      18      391         482       13
15       76      62      21      279         384       17
16       6       53      21      434         506       17
17       19      24      22      345         418       12
18       24      19      14      394         485       18
19       54      97      25      400         491       13
20       94      3       17      576         643       15
21       39      33      19      282         350       12
22       4       13      19      642         720       11
23       90      49      19      376         452       13
24       63      88      20      359         439       19
25       18      97      12      502         571       17
26       50      64      22      170         247       14
27       67      30      23      227         325       11
28       84      35      23      450         516       17
29       1       22      23      515         624       18
30       99      81      21      486         572       11
31       68      85      22      422         530       13
32       4       25      16      457         563       12
33       70      81      23      372         446       12
34       22      20      18      427         522       17
35       55      99      12      560         628       14
36       36      17      10      412         472       14
37       40      71      19      305         377       20
38       54      10      12      444         553       14
39       1       17      19      519         579       18
40       22      96      13      494         556       17
41       16      53      18      380         452       17
42       6       28      25      549         634       12
43       16      88      14      506         607       14
44       99      94      14      602         689       11
45       61      38      15      172         254       15
46       81      86      24      521         631       11
47       96      59      18      462         544       14
48       49      56      20      60          164       17
49       59      99      18      423         529       12
50       10      36      23      499         570       16
51       21      44      12      353         445       16
52       41      35      23      184         267       16
53       64      91      16      446         533       18
54       45      83      22      335         431       10
55       16      14      20      546         606       14
56       81      83      23      525         612       16
57       6       36      21      509         609       14
58       87      85      18      523         624       10
59       26      24      21      427         507       13
60       41      28      20      320         427       20
61       14      3       11      567         627       16
62       25      66      12      314         389       10
63       37      83      15      386         449       20
64       82      50      17      316         407       18
65       39      30      14      217         301       16
66       80      29      13      309         398       13
67       62      60      16      160         220       12
68       49      92      22      467         575       17
69       43      62      18      140         234       17
70       11      78      20      415         488       20
71       13      67      10      396         495       19
72       2       99      22      610         674       13
73       70      92      22      470         530       18
74       20      47      23      362         471       14
75       54      4       19      446         536       20
76       36      60      14      221         310       19
77       13      77      22      460         538       19
78       79      57      13      296         386       14
79       54      14      15      425         530       10
80       59      66      12      200         270       20
81       22      71      12      306         384       10
82       100     18      24      534         612       18
83       76      11      17      410         485       11
84       8       48      19      389         468       12
85       47      45      25      140         214       19
86       88      53      10      387         460       14
87       19      78      24      476         537       17
88       35      76      14      296         368       14
89       9       75      25      526         614       15
90       15      33      24      371         435       17
91       22      32      19      396         474       14
92       13      40      19      444         535       12
93       29      65      14      359         435       15
94       75      25      16      390         477       14
95       27      7       25      541         612       15
96       52      86      20      426         505       18
97       77      65      24      344         438       13
98       58      81      20      370         448       17
99       80      93      18      479         568       12
100      12      16      20      515         584       10

INSTANCE TD_UNIQUE_C_25_121
LAYOUT C
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
68 69 71 75 82 85 93 94
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.25
300      600      0.68
600      1000     1.31
1000     2000     1.01
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        35      4       25      130         237       17
2        81      18      13      469         548       11
3        52      87      25      460         554       16
4        13      14      10      196         291       15
5        75      24      19      359         435       17
6        48      72      11      630         719       18
7        30      10      25      42          140       18
8        83      10      24      267         346       12
9        45      81      11      639         711       12
10       15      20      20      63          171       18
11       77      24      19      304         375       17
12       51      79      10      469         547       15
13       18      27      14      213         306       11
14       78      17      21      405         472       12
15       53      92      12      352         422       13
16       14      7       19      58          148       15
17       72      22      16      420         529       13
18       40      78      12      409         494       19
19       15      12      25      205         297       13
20       91      15      13      434         529       18
21       53      83      21      635         704       17
22       15      20      16      179         239       11
23       67      18      15      224         296       15
24       49      77      12      407         490       20
25       16      20      25      140         221       13

INSTANCE TD_UNIQUE_C_25_122
LAYOUT C
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
63 64 66 67 73 79 86 87
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.12
300      600      0.57
600      1000     1.48
1000     2000     1.04
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        21      12      10      43          151       14
2        86      17      12      209         298       12
3        49      69      11      509         579       10
4        10      5       17      32          133       11
5        86      25      18      353         442       20
6        57      77      24      356         426       15
7        18      3       21      118         220       15
8        81      8       22      306         407       17
9        51      90      18      532         606       10
10       17      5       22      153         221       16
11       80      18      22      416         513       12
12       42      82      17      470         576       20
13       20      22      13      240         322       11
14       73      32      10      406         482       19
15       41      93      15      402         505       15
16       22      10      19      190         293       18
17       91      20      10      447         550       19
18       57      90      12      644         744       10
19       8       9       10      113         221       10
20       66      23      13      379         458       16
21       60      97      23      571         653       11
22       22      32      16      243         324       19
23       91      11      12      481         546       13
24       60      83      25      462         557       17
25       5       20      10      241         313       20

INSTANCE TD_UNIQUE_C_100_123
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
53 55 63 64 71 72 73 77 79 79 81 84 87 90 91 92 96 98 100 101 101 103 104 104 104 105 106 107
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.01
300      600      0.32
600      1000     1.21
1000     2000     1.0
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        23      14      18      238         329       11
2        83      12      12      299         370       20
3        47      69      19      611         698       12
4        12      0       23      44          132       15
5        91      9       23      443         536       18
6        53      77      20      440         540       18
7        17      3       25      167         260       10
8        75      26      10      331         439       18
9        59      76      24      618         680       13
10       23      21      12      155         262       17
11       77      22      13      258         323       17
12       54      82      24      462         562       16
13       34      16      14      82          171       17
14       84      12      16      276         375       12
15       41      79      11      426         525       15
16       14      35      11      50          151       11
17       84      29      22      326         388       19
18       55      80      20      501         568       17
19       10      23      11      104         176       17
20       77      31      24      396         495       11
21       40      74      12      636         722       10
22       33      10      21      62          160       10
23       77      23      15      257         330       15
24       39      86      22      548         622       13
25       21      1       18      16          85        19
26       75      14      15      375         445       18
27       39      69      18      481         556       19
28       16      17      25      189         271       17
29       70      3       19      210         293       18
30       62      93      24      646         717       15
31       11      26      16      13          121       17
32       70      22      20      401         471       13
33       36      63      21      430         495       20
34       24      15      12      146         245       10
35       82      23      10      244         316       12
36       41      72      23      428         525       15
37       15      13      12      130         235       10
38       69      18      20      355         449       10
39       33      84      25      445         545       13
40       14      32      22      14          116       10
41       82      19      11      254         362       12
42       45      85      14      558         622       11
43       20      20      20      152         254       20
44       78      16      15      389         486       11
45       56      79      15      368         430       14
46       14      27      11      241         311       11
47       70      18      15      468         577       17
48       55      84      17      453         548       16
49       19      25      24      150         238       15
50       84      25      11      239         346       12
51       47      72      23      625         703       18
52       23      22      14      227         324       13
53       94      18      22      387         490       20
54       42      78      15      373         479       14
55       18      16      13      209         293       16
56       83      30      14      279         363       18
57       46      80      10      399         461       11
58       25      12      24      217         298       14
59       92      24      13      438         523       12
60       55      75      13      623         688       10
61       12      31      24      95          202       10
62       80      21      23      329         435       19
63       44      84      14      438         502       13
64       9       24      22      103         203       13
65       84      20      14      273         344       10
66       62      87      16      361         463       12
67       22      14      11      17          104       11
68       89      14      24      224         288       20
69       43      83      18      371         449       19
70       15      11      23      106         200       13
71       72      27      25      299         370       12
72       48      84      21      496         582       19
73       22      18      11      284         391       18
74       76      16      18      324         399       13
75       41      80      24      640         746       18
76       17      29      13      104         183       18
77       71      22      22      290         376       20
78       43      77      22      357         431       16
79       24      22      19      180         259       19
80       90      21      22      280         382       13
81       46      85      15      531         633       11
82       1       18      16      272         351       12
83       78      20      14      378         457       14
84       44      100     15      636         743       13
85       22      15      19      97          190       11
86       78      12      25      245         328       18
87       58      87      21      516         593       11
88       21      16      17      84          144       18
89       72      18      18      482         570       14
90       63      86      14      449         549       12
91       9       18      10      181         288       19
92       87      15      12      385         491       17
93       57      79      23      371         476       19
94       20      13      16      62          133       10
95       87      4       13      315         404       15
96       55      68      12      643         734       15
97       17      17      12      221         331       15
98       85      9       17      233         299       12
99       52      75      10      543         620       16
100      9       19      12      54          129       18

INSTANCE TD_UNIQUE_R_50_124
LAYOUT R
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
55 60 68 77 77 77 78 80 81 91 99 99 100 101 102
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.08
300      600      0.31
600      1000     1.21
1000     2000     0.93
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        44      16      21      283         354       19
2        26      91      14      341         437       20
3        31      72      15      227         303       14
4        36      15      11      410         519       12
5        40      86      25      375         449       11
6        98      57      16      445         516       17
7        32      2       24      500         600       12
8        25      49      14      265         355       15
9        54      52      25      59          122       18
10       74      76      11      324         429       15
11       44      49      23      46          128       15
12       24      45      23      307         393       19
13       25      20      10      391         468       16
14       42      2       16      456         516       14
15       16      38      10      353         456       10
16       34      41      18      230         336       17
17       51      25      25      288         365       12
18       64      42      15      204         314       13
19       95      62      18      345         422       19
20       95      26      20      448         530       12
21       5       62      25      384         469       12
22       82      4       23      514         619       18
23       63      51      22      202         289       18
24       29      95      17      501         585       13
25       50      98      21      438         503       18
26       40      23      21      316         399       14
27       2       30      14      511         616       17
28       67      73      25      295         377       20
29       82      40      18      332         409       12
30       92      24      20      474         578       13
31       70      54      19      183         292       10
32       17      48      17      309         417       20
33       10      65      11      316         376       14
34       66      85      17      333         403       11
35       81      17      18      385         486       14
36       83      18      14      458         540       19
37       32      42      15      201         286       15
38       79      48      10      218         296       11
39       61      43      16      193         266       10
40       0       59      10      409         482       19
41       35      0       18      466         565       12
42       83      37      18      252         358       18
43       42      63      22      164         268       20
44       13      61      12      321         386       17
45       42      24      18      250         344       19
46       18      87      19      356         449       13
47       28      33      21      226         333       16
48       75      44      25      268         362       18
49       53      71      19      180         274       13
50       4       58      20      339         413       15

INSTANCE TD_UNIQUE_C_50_125
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
50 56 60 67 72 73 77 84 86 89 90 96 96 100 100
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.26
300      600      0.27
600      1000     1.58
1000     2000     0.92
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        20      13      23      11          94        10
2        88      24      11      489         594       11
3        53      89      22      573         637       14
4        15      20      22      255         326       19
5        75      18      10      430         497       17
6        59      80      24      542         626       17
7        20      17      16      8           109       18
8        85      14      14      275         370       10
9        48      86      13      553         640       20
10       34      25      16      11          78        14
11       93      14      25      292         392       11
12       54      83      22      453         547       16
13       11      15      23      178         271       12
14       78      25      16      386         457       12
15       56      72      14      457         566       18
16       24      14      25      108         182       17
17       82      19      12      248         344       11
18       48      88      22      495         581       18
19       7       8       11      110         204       18
20       81      17      19      441         511       16
21       51      82      14      593         675       20
22       16      30      17      117         198       12
23       89      10      14      238         335       20
24       54      82      21      502         612       15
25       31      22      18      87          164       10
26       85      19      16      494         558       16
27       63      82      21      457         545       14
28       24      13      15      190         262       19
29       75      23      25      258         365       15
30       62      71      25      377         455       13
31       26      23      23      182         254       12
32       74      30      23      205         284       18
33       55      83      18      619         682       11
34       33      12      14      37          128       17
35       81      17      13      381         467       10
36       44      70      18      553         616       11
37       23      20      21      88          167       13
38       91      28      12      207         271       12
39       49      81      17      549         610       10
40       18      26      23      101         172       19
41       76      16      12      327         407       20
42       50      86      20      501         600       12
43       31      8       16      32          99        15
44       71      9       10      362         443       17
45       57      92      10      537         625       17
46       7       18      24      195         279       10
47       84      20      14      200         278       18
48       44      78      12      359         468       16
49       22      17      19      88          190       18
50       83      23      12      223         316       20

INSTANCE TD_UNIQUE_R_100_126
LAYOUT R
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
52 57 72 72 74 76 77 79 82 84 85 85 88 90 92 93 94 99 100 102 103 105 106 108 108 108 109 109
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.0
300      600      0.27
600      1000     1.29
1000     2000     0.91
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        62      74      25      236         302       20
2        20      70      19      414         515       13
3        4       43      16      400         488       16
4        48      95      18      446         529       16
5        5       27      17      459         539       17
6        17      98      22      558         639       11
7        36      40      17      236         311       20
8        85      14      21      429         538       14
9        11      5       24      619         715       13
10       88      6       22      525         591       16
11       38      89      17      417         520       11
12       22      25      17      409         513       17
13       27      84      24      438         534       18
14       86      29      10      436         514       15
15       7       50      24      359         421       13
16       37      65      20      238         299       11
17       84      65      23      397         495       11
18       51      63      17      246         329       13
19       58      7       22      384         450       15
20       19      61      20      371         462       18
21       1       51      25      458         567       19
22       42      64      13      146         239       14
23       28      40      22      213         312       15
24       99      73      20      459         529       15
